epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1315,1.40165,1.40992,1.15232,0.89864,0.74471,0.85028,0.60153,1.25841,0.96188,0.85603,0.000369713,0.000369713,0.000369713
2,166.719,0.99033,0.82298,0.93943,0.89362,0.82162,0.89,0.67191,1.08043,0.83713,0.77852,0.000739866,0.000739866,0.000739866
3,247.243,0.97332,0.80925,0.92163,0.88957,0.77938,0.88257,0.65328,1.1371,0.87086,0.79769,0.0011093,0.0011093,0.0011093
4,325.376,0.92568,0.77178,0.90264,0.90688,0.81412,0.89792,0.66185,1.10874,0.78008,0.77647,0.00110856,0.00110856,0.00110856
5,404.31,0.89502,0.7225,0.89629,0.91962,0.79946,0.8961,0.67602,1.10117,0.78773,0.80901,0.00110666,0.00110666,0.00110666
6,484.137,0.87251,0.71572,0.89204,0.91169,0.81331,0.89808,0.69644,1.04757,0.74705,0.80553,0.00110423,0.00110423,0.00110423
7,565.071,0.83068,0.68673,0.88581,0.93005,0.82256,0.91277,0.7252,1.02729,0.7004,0.83007,0.00110126,0.00110126,0.00110126
8,644.708,0.80769,0.6752,0.87924,0.8845,0.79259,0.89853,0.68347,1.07181,0.83666,0.85083,0.00109776,0.00109776,0.00109776
9,723.843,0.8223,0.67778,0.8797,0.88514,0.84367,0.90816,0.71161,1.01672,0.70864,0.80405,0.00109372,0.00109372,0.00109372
10,801.99,0.82139,0.65914,0.87697,0.89055,0.84265,0.9142,0.72527,0.97577,0.70449,0.81973,0.00108916,0.00108916,0.00108916
11,883.677,0.78187,0.63672,0.87678,0.92824,0.84226,0.92102,0.74232,0.95499,0.65529,0.80788,0.00108408,0.00108408,0.00108408
12,964.149,0.77554,0.62818,0.87407,0.9155,0.86024,0.92557,0.74819,0.9458,0.66637,0.81996,0.00107849,0.00107849,0.00107849
13,1042.23,0.75644,0.62323,0.86909,0.9189,0.85382,0.92076,0.73921,0.96995,0.65947,0.85159,0.00107238,0.00107238,0.00107238
14,1121.17,0.75496,0.60765,0.86973,0.93636,0.83453,0.92547,0.74838,0.9287,0.62971,0.81053,0.00106577,0.00106577,0.00106577
15,1200.97,0.74163,0.59997,0.86768,0.92722,0.84166,0.91981,0.74186,0.93761,0.64265,0.84073,0.00105866,0.00105866,0.00105866
16,1281.85,0.73425,0.5875,0.86619,0.93911,0.8362,0.91697,0.73827,0.95431,0.66124,0.83322,0.00105106,0.00105106,0.00105106
17,1361.24,0.72568,0.5744,0.86751,0.9274,0.85912,0.92602,0.73976,0.97513,0.64494,0.86211,0.00104298,0.00104298,0.00104298
18,1440.77,0.74383,0.5896,0.86663,0.90857,0.84675,0.91757,0.73949,0.95375,0.69638,0.84399,0.00103442,0.00103442,0.00103442
19,1518.94,0.74224,0.57878,0.86678,0.91905,0.85754,0.92362,0.74522,0.93857,0.6377,0.84507,0.00102539,0.00102539,0.00102539
20,1600.98,0.72486,0.56483,0.86578,0.92427,0.8602,0.92746,0.75681,0.92096,0.63226,0.83289,0.0010159,0.0010159,0.0010159
21,1681.31,0.71859,0.55534,0.86777,0.92315,0.86688,0.93055,0.75506,0.94079,0.61673,0.85152,0.00100597,0.00100597,0.00100597
22,1759.82,0.72793,0.56458,0.86653,0.95104,0.85077,0.92824,0.75643,0.9114,0.62308,0.8537,0.000995597,0.000995597,0.000995597
23,1838.84,0.71008,0.55099,0.86295,0.93796,0.87623,0.9368,0.7651,0.92394,0.58912,0.85085,0.000984795,0.000984795,0.000984795
24,1919.1,0.69645,0.53238,0.86033,0.91437,0.8564,0.91932,0.74163,0.93937,0.64243,0.85799,0.000973575,0.000973575,0.000973575
25,1999.76,0.7074,0.54299,0.8586,0.91513,0.85364,0.91956,0.74994,0.91028,0.65225,0.86461,0.000961948,0.000961948,0.000961948
26,2078.97,0.68561,0.54204,0.8589,0.94524,0.86786,0.93841,0.76094,0.93323,0.5869,0.86167,0.000949925,0.000949925,0.000949925
27,2157.69,0.69697,0.53226,0.86196,0.92535,0.88232,0.93449,0.76371,0.92568,0.5992,0.87319,0.000937518,0.000937518,0.000937518
28,2236.34,0.6859,0.53331,0.86128,0.93856,0.88127,0.93784,0.77067,0.91564,0.58038,0.86875,0.00092474,0.00092474,0.00092474
29,2317.55,0.685,0.52364,0.85787,0.93606,0.87293,0.93731,0.7669,0.92488,0.57421,0.88376,0.000911603,0.000911603,0.000911603
30,2401.18,0.67871,0.51467,0.86022,0.94509,0.86474,0.9344,0.76749,0.89837,0.58404,0.85795,0.00089812,0.00089812,0.00089812
31,2480.9,0.6773,0.51918,0.86188,0.94497,0.86775,0.93579,0.76375,0.92085,0.60105,0.86327,0.000884305,0.000884305,0.000884305
32,2561.13,0.66156,0.51592,0.85858,0.93538,0.87634,0.93703,0.77035,0.91814,0.58965,0.87393,0.00087017,0.00087017,0.00087017
33,2642.98,0.66543,0.51331,0.85872,0.93301,0.87132,0.93156,0.7643,0.91194,0.58621,0.8659,0.00085573,0.00085573,0.00085573
34,2725.06,0.66172,0.50893,0.86011,0.93255,0.88002,0.93569,0.757,0.93192,0.57873,0.89196,0.000841,0.000841,0.000841
35,2804.07,0.65727,0.50356,0.85907,0.93578,0.87418,0.93518,0.76372,0.92416,0.57537,0.88564,0.000825993,0.000825993,0.000825993
36,2881.7,0.6684,0.50508,0.85556,0.94043,0.87061,0.93647,0.76963,0.91666,0.57256,0.87457,0.000810725,0.000810725,0.000810725
37,2958.69,0.65367,0.50317,0.85642,0.94124,0.87638,0.938,0.77384,0.89013,0.56981,0.86159,0.00079521,0.00079521,0.00079521
38,3041.39,0.64882,0.49445,0.85512,0.94141,0.87837,0.93473,0.76892,0.89575,0.5726,0.88476,0.000779464,0.000779464,0.000779464
39,3120.91,0.66026,0.49376,0.85799,0.92558,0.87185,0.93632,0.76872,0.89974,0.5783,0.88966,0.000763503,0.000763503,0.000763503
40,3197.62,0.64356,0.49062,0.85602,0.93587,0.8811,0.93863,0.77136,0.90203,0.57703,0.87906,0.000747342,0.000747342,0.000747342
41,3275.24,0.63557,0.48336,0.8529,0.9339,0.87526,0.93716,0.7774,0.88382,0.5707,0.88872,0.000730997,0.000730997,0.000730997
42,3354.18,0.6349,0.47161,0.85496,0.93548,0.88365,0.93474,0.76112,0.91306,0.57338,0.90275,0.000714485,0.000714485,0.000714485
43,3436.09,0.62315,0.46495,0.85601,0.94117,0.86637,0.92909,0.75793,0.90404,0.58134,0.89328,0.000697821,0.000697821,0.000697821
44,3514.54,0.62642,0.46481,0.85314,0.94553,0.88126,0.93827,0.77563,0.89774,0.56186,0.88826,0.000681022,0.000681022,0.000681022
45,3593.74,0.6222,0.46427,0.85492,0.93984,0.87483,0.93617,0.76778,0.90838,0.56357,0.90416,0.000664104,0.000664104,0.000664104
46,3673.72,0.62495,0.46529,0.85222,0.91833,0.8956,0.93518,0.76609,0.91103,0.58068,0.90822,0.000647085,0.000647085,0.000647085
47,3754.43,0.6229,0.45453,0.85376,0.91834,0.89545,0.93795,0.76962,0.89917,0.56471,0.90096,0.000629981,0.000629981,0.000629981
48,3834.57,0.61971,0.45334,0.85318,0.92326,0.89079,0.93551,0.7725,0.90223,0.57118,0.90608,0.000612809,0.000612809,0.000612809
49,3914.96,0.6052,0.44518,0.85184,0.9342,0.87979,0.93533,0.77181,0.88306,0.57719,0.8928,0.000595586,0.000595586,0.000595586
50,3994.27,0.62396,0.44241,0.85223,0.94595,0.87761,0.93796,0.77064,0.89558,0.54878,0.89104,0.000578329,0.000578329,0.000578329
51,4074.05,0.60405,0.42667,0.85309,0.92808,0.88882,0.93547,0.77215,0.89471,0.5625,0.89905,0.000561055,0.000561055,0.000561055
