epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,195.387,0.69717,0.93524,1,0.18234,0.00333083,0.00333083,0.00333083
2,393.682,0.29816,0.9563,1,0.13797,0.00666376,0.00666376,0.00666376
3,584.506,0.29197,0.94537,1,0.16468,0.00999506,0.00999506,0.00999506
4,776.771,0.27156,0.95828,1,0.12675,0.0099945,0.0099945,0.0099945
5,965.099,0.21847,0.9561,1,0.13146,0.00999023,0.00999023,0.00999023
6,1155.36,0.1923,0.95709,1,0.13465,0.00998474,0.00998474,0.00998474
7,1345.04,0.17753,0.96444,1,0.11101,0.00997803,0.00997803,0.00997803
8,1524.8,0.16395,0.96623,1,0.11467,0.00997011,0.00997011,0.00997011
9,1714.87,0.16675,0.96742,1,0.11334,0.00996097,0.00996097,0.00996097
10,1904.71,0.16206,0.96702,1,0.10019,0.00995062,0.00995062,0.00995062
11,2097.52,0.15391,0.96802,1,0.10547,0.00993906,0.00993906,0.00993906
12,2286.76,0.14647,0.96921,1,0.09346,0.00992629,0.00992629,0.00992629
13,2477.72,0.14185,0.96742,1,0.10139,0.00991232,0.00991232,0.00991232
14,2668.35,0.13927,0.96603,1,0.10123,0.00989715,0.00989715,0.00989715
15,2857.94,0.13475,0.96921,1,0.09572,0.00988079,0.00988079,0.00988079
16,3046.47,0.138,0.96921,1,0.09778,0.00986323,0.00986323,0.00986323
17,3235.78,0.13694,0.96941,1,0.09832,0.00984449,0.00984449,0.00984449
18,3423.78,0.13327,0.9702,1,0.09096,0.00982456,0.00982456,0.00982456
19,3611.12,0.13295,0.9708,1,0.09244,0.00980345,0.00980345,0.00980345
20,3799.4,0.13029,0.96921,1,0.09297,0.00978118,0.00978118,0.00978118
21,3989.54,0.13181,0.971,1,0.08798,0.00975773,0.00975773,0.00975773
22,4175.57,0.12664,0.96941,1,0.08855,0.00973312,0.00973312,0.00973312
23,4365.16,0.12485,0.97139,1,0.08695,0.00970736,0.00970736,0.00970736
24,4551.45,0.12792,0.97239,1,0.08799,0.00968045,0.00968045,0.00968045
25,4741.31,0.11817,0.9706,1,0.09006,0.00965239,0.00965239,0.00965239
26,4929.09,0.12219,0.97179,1,0.08814,0.0096232,0.0096232,0.0096232
27,5118.92,0.11861,0.97199,1,0.09102,0.00959289,0.00959289,0.00959289
28,5306.27,0.11742,0.9712,1,0.09253,0.00956145,0.00956145,0.00956145
29,5493.19,0.12367,0.9712,1,0.09216,0.00952889,0.00952889,0.00952889
30,5681.37,0.11608,0.97199,1,0.08833,0.00949524,0.00949524,0.00949524
31,5868.95,0.11336,0.9704,1,0.08889,0.00946048,0.00946048,0.00946048
32,6058.16,0.11422,0.96921,1,0.0909,0.00942464,0.00942464,0.00942464
